extension/base name - best guess,RVI20,"RVA20 
(64 only)","RVA20 
(64 only)","RVA22 
(64 only)","RVA22 
(64 only)",RVI23,RVA23 (64 only),RVA23 (64 only),RVB23 (64 only),RVB23 (64 only)
Zve64d,n,n,n,n,n,n,n,n,n,n
Zve64f,n,n,n,n,n,n,n,n,n,n
Zve64x,n,n,n,n,n,n,n,n,n,n
Zvf,n,n,n,n,n,n,n,n,n,n
Zvfbfmin,n,n,n,n,n,o,o,o,o,o
Zvfbfwma,n,n,n,n,n,o,o,o,o,o
Zvfh ,n,n,n,n,n,o,o,o,o,o
Zvfhmin,n,n,n,n,n,o,m,m,o,o
Zvk,n,n,n,n,n,n,n,n,n,n
Zvkb,n,n,n,n,n,o,o,o,o,o
Zvkg,n,n,n,n,n,n,n,n,o,o
Zvkgs,n,n,n,n,n,n,n,n,n,n
Zvkn,n,n,n,n,n,n,n,n,o,o
Zvknc,n,n,n,n,n,n,n,n,o,o
Zvkned,n,n,n,n,n,n,n,n,n,n
Zvknf,n,n,n,n,n,n,n,n,n,n
Zvkng,n,n,n,n,n,o,o,o,o,o
Zvknha,n,n,n,n,n,n,n,n,n,n
Zvknhb,n,n,n,n,n,n,n,n,n,n
Zvks,n,n,n,n,n,n,n,n,o,o
Zvksc,n,n,n,n,n,n,n,n,o,o
Zvksed,n,n,n,n,n,n,n,n,n,n
Zvksg,n,n,n,n,n,o,o,o,o,o
Zvksh,n,n,n,n,n,n,n,n,n,n
Zvkt,n,n,n,n,n,n,n,n,n,n
FINAL ROW,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
unique ratification packs (groups approved by the board often in one spec),,,,,,,,,,
2019,13,,,,,,,,,
2020,0,,,,,,,,,
2021,55,,,,,,,,,
2022,7,,,,,,,,,
2023,50,,,,,,,,,
2024,30,,,,,,,,,
,,,,,,,,,,
,1," (expected to be ratified in 2023, but not yet ratified)",,,,,,,,
,6," (expected to be ratified in 2024, but not yet ratified)",,,,,,,,
,0," (expected to be ratified in 2025, but not yet ratified)",,,,,,,,
