extension,RVI20,"RVA20 
(64 only) – U","RVA20 
(64 only) – S","RVA22 
(64 only) – U","RVA22 
(64 only) – S",RVI23 – U,RVA23 (64 only) – U,RVA23 (64 only) – S,RVB23 (64 only) – U,RVB23 (64 only) – S
Zve64x,False,False,False,False,False,False,False,False,False,False
Zvf,False,False,False,False,False,False,False,False,False,False
Zvfbfmin,False,False,False,False,False,True,True,True,True,True
Zvfbfwma,False,False,False,False,False,True,True,True,True,True
Zvfh ,False,False,False,False,False,True,True,True,True,True
Zvfhmin,False,False,False,False,False,True,True,True,True,True
Zvk,False,False,False,False,False,False,False,False,False,False
Zvkb,False,False,False,False,False,True,True,True,True,True
Zvkg,False,False,False,False,False,False,False,False,True,True
Zvkgs,False,False,False,False,False,False,False,False,False,False
Zvkn,False,False,False,False,False,False,False,False,True,True
Zvknc,False,False,False,False,False,False,False,False,True,True
Zvkned,False,False,False,False,False,False,False,False,False,False
Zvknf,False,False,False,False,False,False,False,False,False,False
Zvkng,False,False,False,False,False,True,True,True,True,True
Zvknha,False,False,False,False,False,False,False,False,False,False
Zvknhb,False,False,False,False,False,False,False,False,False,False
Zvks,False,False,False,False,False,False,False,False,True,True
Zvksc,False,False,False,False,False,False,False,False,True,True
Zvksed,False,False,False,False,False,False,False,False,False,False
Zvksg,False,False,False,False,False,True,True,True,True,True
Zvksh,False,False,False,False,False,False,False,False,False,False
Zvkt,False,False,False,False,False,False,False,False,False,False
